Status,Module,Sub-Module,SAP S/4HANA Table,SAP Field,SAP Field Name,Construction App Table,Construction App Field,Data Type,Max Length,Notes
Implemented,MM,Material Master - Basic Data,MARA,MATNR,Material Number,materials,material_code,VARCHAR,31,SAP: 40 chars in S/4HANA
Implemented,MM,Material Master - Basic Data,MAKT,MAKTX,Material Description,materials,material_name,VARCHAR,240,SAP: 40 chars
Implemented,MM,Material Master - Basic Data,MARA,MTART,Material Type,materials,material_type,VARCHAR,10,"FG/RM/SFG/TG/SER vs FERT/ROH/HALB"
Implemented,MM,Material Master - Basic Data,MARA,MEINS,Base Unit of Measure,materials,base_uom,VARCHAR,10,BAG/TON/CUM/KG/LTR/PCS/MTR/EA
Implemented,MM,Material Master - Basic Data,MARA,MATKL,Material Group,materials,material_group,VARCHAR,50,Custom groups vs SAP MATKL
Implemented,MM,Material Master - Basic Data,MARA,BRGEW,Gross Weight,materials,gross_weight,DECIMAL,"15,3",
Implemented,MM,Material Master - Basic Data,MARA,NTGEW,Net Weight,materials,net_weight,DECIMAL,"15,3",
Implemented,MM,Material Master - Basic Data,MARA,GEWEI,Weight Unit,materials,weight_unit,VARCHAR,10,KG/TON/G/LB
Implemented,MM,Material Master - Basic Data,MARA,VOLUM,Volume,materials,volume,DECIMAL,"15,3",
Implemented,MM,Material Master - Basic Data,MARA,VOLEH,Volume Unit,materials,volume_unit,VARCHAR,10,CUM/LTR/ML/GAL
Implemented,MM,Material Master - Basic Data,MARA,ERSDA,Created On,materials,created_at,TIMESTAMP,,Database-managed
Implemented,MM,Material Master - Basic Data,MARA,ERNAM,Created By,materials,created_by,UUID,,Database-managed
Implemented,MM,Material Master - Basic Data,MARA,LAEDA,Last Changed,materials,updated_at,TIMESTAMP,,Database-managed
Implemented,MM,Material Master - Basic Data,MARA,AENAM,Changed By,materials,updated_by,UUID,,Database-managed
Implemented,MM,Material Master - Plant Data,MARC,WERKS,Plant,material_plant_data,plant_code,VARCHAR,10,4-char code
Implemented,MM,Material Master - Plant Data,MARC,BESKZ,Procurement Type,material_plant_data,procurement_type,VARCHAR,10,E (In-house) / F (External)
Implemented,MM,Material Master - Plant Data,MARC,DISMM,MRP Type,material_plant_data,mrp_type,VARCHAR,10,MRP controller
Implemented,MM,Material Master - Plant Data,MARC,MINBE,Reorder Point,material_plant_data,reorder_point,DECIMAL,"15,3",
Implemented,MM,Material Master - Plant Data,MARC,EISBE,Safety Stock,material_plant_data,safety_stock,DECIMAL,"15,3",
Implemented,MM,Material Master - Plant Data,MARC,BSTMI,Minimum Lot Size,material_plant_data,minimum_lot_size,DECIMAL,"15,3",
Implemented,MM,Material Master - Plant Data,MARC,PLIFZ,Planned Delivery Time,material_plant_data,planned_delivery_time,INTEGER,,Days
Implemented,MM,Material Master - Plant Data,MARC,MMSTA,Plant-Specific Status,material_plant_data,plant_status,VARCHAR,20,ACTIVE/INACTIVE/BLOCKED
Implemented,MM,Material Master - Valuation,MBEW,BWKEY,Valuation Area,material_pricing,plant_code,VARCHAR,10,Plant level valuation
Implemented,MM,Material Master - Valuation,MBEW,VPRSV,Price Control,material_pricing,price_type,VARCHAR,20,STANDARD/MOVING_AVG
Implemented,MM,Material Master - Valuation,MBEW,STPRS,Standard Price,material_pricing,price,DECIMAL,"15,2",
Implemented,MM,Material Master - Valuation,MBEW,VERPR,Moving Average Price,material_pricing,price,DECIMAL,"15,2",
Implemented,MM,Material Master - Valuation,MBEW,WAERS,Currency,material_pricing,currency,VARCHAR,3,3-char code
Implemented,MM,Material Master - Valuation,MBEW,SALK3,Stock Value,stock_balances,total_value,DECIMAL,"15,2",
Implemented,ORG,Organization - Company Code,T001,BUKRS,Company Code,company_codes,company_code,VARCHAR,10,4-char code
Implemented,ORG,Organization - Company Code,T001,BUTXT,Company Name,company_codes,company_name,VARCHAR,500,
Implemented,ORG,Organization - Company Code,T001,WAERS,Currency,company_codes,currency,VARCHAR,3,3-char code
Implemented,ORG,Organization - Company Code,T001,LAND1,Country,company_codes,country_code,VARCHAR,2,2-char code
Implemented,ORG,Organization - Plant,T001W,WERKS,Plant,plants,plant_code,VARCHAR,10,4-char code
Implemented,ORG,Organization - Plant,T001W,NAME1,Plant Name,plants,plant_name,VARCHAR,500,
Implemented,ORG,Organization - Plant,T001W,BWKEY,Company Code,plants,company_code,VARCHAR,10,FK to company_codes
Implemented,ORG,Organization - Plant,T001W,ADRNR,Address,plants,address,TEXT,,
Implemented,ORG,Organization - Storage Location,T001L,LGORT,Storage Location,storage_locations,sloc_code,VARCHAR,10,4-char code
Implemented,ORG,Organization - Storage Location,T001L,LGOBE,Storage Location Name,storage_locations,sloc_name,VARCHAR,500,
Implemented,ORG,Organization - Storage Location,T001L,WERKS,Plant,storage_locations,plant_code,VARCHAR,10,FK to plants
Implemented,BASIS,Number Ranges - Object Definition,TNRO,OBJECT,Number Range Object,document_number_ranges,document_type,VARCHAR,10,Object identifier (e.g. MATL/BELNR)
Implemented,BASIS,Number Ranges - Object Definition,TNRO,TXT,Object Description,document_number_ranges,description,VARCHAR,500,Number range description
